typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4","false","8","kg","4","false","4","false","0","false","202",,"202","0","false","true",
"C","A","20140101","2014","52","2014","418","LAO","Lao People's Dem. Rep.","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","true","-1","N/A",,"false","30","true",,"false","413",,"413","6","true","false",
"C","A","20140101","2014","52","2014","458","MYS","Malaysia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","-1","N/A",,"false","300","false",,"false","3030",,"3030","0","true","false",
"C","A","20140101","2014","52","2014","554","NZL","New Zealand","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","27936.684","true","-1","N/A","0","false","27936.684","true","11171","false","168966.521",,"168966.521","0","false","true",
"C","A","20140101","2014","52","2014","690","SYC","Seychelles","M","Import","36","AUS","Australia","0","W00","World","H3","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.88","false","8","kg","1.88","false","1.88","false","0","false","61.118","0","61.118","0","false","true",
"C","A","20140101","2014","52","2014","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","540.179","true","-1","N/A","0","false","540.179","true",,"false","3313.59",,"3313.59","0","false","true",
"C","A","20140101","2014","52","2014","704","VNM","Viet Nam","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7983","true","-1","N/A",,"false","7983","true",,"false","44745",,"44745","6","true","false",
"C","A","20140101","2014","52","2014","757","CHE","Switzerland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","177.005","0","177.005","0","false","true",
"C","A","20140101","2014","52","2014","764","THA","Thailand","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","-1","N/A",,"false","8","false",,"false","132",,"132","0","true","false",
"C","A","20140101","2014","52","2014","776","TON","Tonga","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","5901","Textile fabrics, gum or amylaceous substance coated, used for outer book covers and like; tracing cloth, prepared painting canvas; buckram and similar stiffened textile fabrics used for hat foundation","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","true","-1","N/A",,"false","11","true",,"false","161",,"161","6","true","false",
