name,longitude,latitude,city,state
Bett Gallery,144.9918537,-37.8377695,South Yarra,VIC
BLINDSIDE,144.9631732,-37.8142454,Melbourne,VIC
Blue Mountains City Art Gallery,150.3121633,-33.713759,Katoomba,NSW
BMGArt,138.5616289,-34.9453435,Marleston,SA
Bond Street Gallery,147.0656717,-38.1094463,Sale,VIC
Boom Gallery,144.3350959,-38.1539124,Newtown,VIC
Brenda Colahan Fine Art,151.2040292,-33.8931044,Redfern,NSW
Bribie Island Seaside Museum,153.1594566,-27.0839863,Bongaree,QLD
Brisbane Powerhouse,153.0469363,-27.466589,New Farm,QLD
Broken Hill City Art Gallery,141.4511111,-31.965,Broken Hill,NSW
Brunswick Street Gallery,144.9792611,-37.8010382,Fitzroy,VIC
BSIDE Gallery,144.9773418,-37.8038893,Fitzroy,VIC
Bunbury Regional Art Gallery,115.636698,-33.3267797,Bunbury,WA
Bundanon,150.4928397,-34.8664557,Illaroo,NSW
Bundoora Homestead Art Centre,145.0596757,-37.6982468,Bundoora,VIC
Bunjil Place Gallery,145.3037408,-38.0275167,Narre Warren,VIC
Burnie Regional Art Gallery,145.9064073,-41.0523688,Burnie,TAS
Burrinja Gallery,145.3339412,-37.9158104,Upwey,VIC
Bus Projects,144.9776825,-37.7688802,Brunswick East,VIC
Butter Factory Arts Centre,152.8986489,-26.424604,Cooroy,QLD
Buxton Contemporary,144.9640203,-37.8253618,Southbank,VIC
C. Gallery,144.9918537,-37.8377695,South Yarra,VIC
Caboolture Regional Art Gallery,152.9510863,-27.0839336,Caboolture,QLD
Cairns Art Gallery,145.7733307,-16.9233322,Cairns City,QLD
Caloundra Regional Gallery,153.1308159,-26.8037934,Caloundra,QLD
Campbelltown Arts Centre (CAC),150.8083008,-34.0730221,Campbelltown,NSW
Canberra Contemporary Art Space,149.1351557,-35.2959153,Parkes,ACT
Canberra Glassworks,149.1437041,-35.3115433,Kingston,ACT
Canberra Museum and Gallery,149.1309449,-35.280664,Canberra,ACT
"Canberra Potters, Watson Arts Centre",149.1594458,-35.2348235,Watson,ACT
Carriageworks,151.1916021,-33.8941553,Eveleigh,NSW
Carrick Hill House Museum,138.6327195,-34.9784586,Springfield,SA
Cascade Art Gallery,144.0689457,-36.9963144,Maldon,VIC
Castlemaine Art Museum,144.2200032,-37.0664778,Castlemaine,VIC
CAVES,144.9631732,-37.8142454,Melbourne,VIC
CBD Gallery,151.2082848,-33.8698439,Sydney,NSW
Cement Fondu,151.2272766,-33.8841572,Paddington,NSW
Centre for Contemporary Photography (CCP),144.980904,-37.8044526,Fitzroy,VIC
Ceramic Break Sculpture Park,150.5394102,-29.5789998,Warialda Rail,NSW
Chalk Horse,151.219225,-33.8783381,Darlinghurst,NSW
Chapman & Bailey,144.9977808,-37.8033554,Abbotsford,VIC
Charles Darwin University Art Gallery, 130.84178623531233, -12.459527884068367, Chancellery,NT
Charles Nodrum Gallery,144.9907213,-37.80745,Richmond,VIC
Chau Chak Wing Museum,151.1800986,-33.8896116,Camperdown,NSW
China Cultural Centre in Sydney,151.2082848,-33.8698439,Sydney,NSW
Chrissie Cotter Gallery,151.1800986,-33.8896116,Camperdown,NSW
City Gallery,144.9631732,-37.8142454,Melbourne,VIC
City of Perth Council House Gallery,115.8605784,-31.9558967,Perth,WA
Civic Art Bureau,149.1012676,-35.2975906,Canberra,ACT
CLIMARTE Gallery,144.9907213,-37.80745,Richmond,VIC
CnG Art Gallery,144.9957991,-37.9081962,Brighton,VIC
Coconut Studios,130.8524998,-12.3988881,Coconut Grove,NT
Collective Haunt,138.6320869,-34.9213467,Norwood,SA
Colville Gallery,147.3332835,-42.8882045,Battery Point,TAS
COMA,151.219225,-33.8783381,Darlinghurst,NSW
Compendium Gallery,145.0193207,-37.8563442,Armadale,VIC
Conny Dietzschold Gallery,150.7513157,-33.600541,East Sydney,NSW
Contemporary Art Tasmania,147.31918450092758, -42.87453287494093,Contemporary Art,TAS
"Convent Gallery, Daylesford",144.1465866,-37.3414775,Daylesford,VIC
Cooroy Butter Factory Arts Centre,144.9918537,-37.8377695,South Yarra,VIC
Corner Store Gallery,149.0971567,-33.2820463,Orange,NSW
correspondences,144.9603589,-37.7767817,Brunswick,VIC
Counihan Gallery,144.9610371,-37.7721246,Brunswick,VIC
Cowra Micro Gallery,148.6935649,-33.8111285,Cowra,NSW
Cowra Regional Art Gallery, 148.69404727333378, -33.83446085994861, Sreet Cowra,NSW
Craft + Design Canberra,149.1012676,-35.2975906,Canberra,ACT
Craft Victoria,145.4023495,-38.0558322,Craft,VIC
Curl Curl Creative Space,151.2904773,-33.7630002,North Curl Curl,NSW
Cusack & Cusack,144.4506832,-37.2444855,Kyneton,VIC
DADAA Gallery – Fremantle,115.7586172,-32.0534086,Fremantle,WA
Darren Knight Gallery,151.2073137,-33.9002762,Waterloo,NSW
David Giles Art Gallery,115.7586172,-32.0534086,Fremantle,WA
David Roche Gallery,138.5953502,-34.9085015,North Adelaide,SA
Dax Centre,144.9631732,-37.8142454,Melbourne,VIC
Deakin University Art Gallery,145.0805767,-37.851671,Burwood,VIC
Defiance Gallery,151.2272766,-33.8841572,Paddington,NSW
Delmar Gallery,145.129753,-37.8777227,Gallery 144,VIC
Desert Mob,144.9918537,-37.8377695,South Yarra,VIC
Design Tasmania,147.2491373,-42.7808433,Design,TAS
Despard Gallery,147.3281233,-42.8825088,Hobart,TAS
Devonport Regional Gallery,146.3613011,-41.1797561,Devonport,TAS
Divisions Gallery,144.9643314,-37.7449752,Coburg,VIC
Djaa Djuwima – First Nations Gallery,144.2826718,-36.7590183,Bendigo,VIC
Dominik Mersch Gallery,144.9918537,-37.8377695,South Yarra,VIC
Dova Collective,115.8605784,-31.9558967,Perth,WA
Dust Temple,153.4724331,-28.1442413,Currumbin,QLD
D’Lan Contemporary,144.9631732,-37.8142454,Melbourne,VIC
E+Hive Gallery,144.9881387,-37.802104,Collingwood,VIC
e.g.etal,144.9631732,-37.8142454,Melbourne,VIC
East Gippsland Art Gallery,147.6304752,-37.8254509,Bairnsdale,VIC
Eden and the Willow,151.1801893,-33.8961132,Newtown,NSW
EDWINA CORLETTE,153.0469363,-27.466589,New Farm,QLD
Eloise Cato Gallery,151.0506105,-33.7756191,Hills Sydney,NSW
Everywhen Art,145.0554939,-38.4247467,Shoreham,VIC
Fairfield City Museum & Gallery,150.9420268,-33.8542809,Smithfield,NSW
Faux Gallery,144.9717424,-37.7704574,Brunswick East,VIC
Feather & Lawry Gallery,151.9506835,-27.5597959,Toowoomba City,QLD
Federation University Post Office Gallery,144.9918537,-37.8377695,South Yarra,VIC
Fellia Melas Gallery,144.9918537,-37.8377695,South Yarra,VIC
FELTspace,138.5999312,-34.9281805,Adelaide,SA
"Fine Arts, Sydney",151.2272766,-33.8841572,Paddington,NSW
Fiona and Sidney Myer Gallery,144.967941,-37.8255106,Southbank,VIC
FireWorks Gallery,153.0373122,-27.4434045,Bowen Hills,QLD
Firstdraft Gallery,151.2156518,-33.8730438,Woolloomooloo,NSW
Five Walls Gallery & Projects,144.897345,-37.7981339,Footscray,VIC
Flinders Lane Gallery,144.9631732,-37.8142454,Melbourne,VIC
Flinders Street Gallery,144.9918537,-37.8377695,South Yarra,VIC
Flinders University Museum of Art,138.5698409,-35.0233978,Bedford Park,SA
Footscray Community Arts,144.9918537,-37.8377695,South Yarra,VIC
Fortyfivedownstairs,144.9631732,-37.8142454,Melbourne,VIC
Fox Galleries,144.9881387,-37.802104,Collingwood,VIC
Fox Jensen Gallery,151.2272766,-33.8841572,Paddington,NSW
Frankston Arts Centre,145.1232659,-38.1461351,Frankston,VIC
FUTURES,144.9881387,-37.802104,Collingwood,VIC
Fyre Gallery,149.7955552,-35.4388907,Braidwood,NSW
Gaffa Gallery,151.2082848,-33.8698439,Sydney,NSW
GAGPROJECTS,138.620129,-34.9215545,Kent Town,SA
GALA Gallery,150.5279477,-23.3648749,Berserker,QLD
Gallery 144,151.0506105,-33.7756191,Hills Sydney,NSW
Gallery 152,116.7691483,-31.8889034,York,WA
Gallery 48,146.8036047,-19.3502845,Townsville City,QLD
Gallery 9,151.219225,-33.8783381,Darlinghurst,NSW
Gallery at City Library,144.9631732,-37.8142454,Melbourne,VIC
Gallery Central,115.8575464,-31.9478509,Northbridge,WA
Gallery Elysium,145.0391777,-37.8232327,Hawthorn,VIC
Gallery Jones Art & Frame House,144.9952063,-37.8758915,Ripponlea,VIC
Gallery Lane Cove,151.201079,-33.7866654,Cove,NSW
Gallery LNL,151.1801893,-33.8961132,Newtown,NSW
Gallery M,138.544563,-35.0066862,Oaklands Park,SA
Gallery Raye,152.8508329,-26.7079095,Sunshine Coast,QLD
Gallery Unbound,145.0009469,-37.7728157,Northcote,VIC
Gallery76,151.0856114,-33.8484033,Concord West,NSW
Gallerysmith,144.9898165,-37.849953,Prahran,VIC
Gang Gang Gallery,150.1517518,-33.4826815,Lithgow,NSW
Geelong Art Space,144.3598241,-38.1493248,Geelong,VIC
Geelong Gallery,144.3569382,-38.146917,Geelong,VIC
Gertrude Contemporary,144.9918537,-37.8377695,South Yarra,VIC
Gippsland Art Gallery,147.0634792,-38.1118614,Sale,VIC
Gladstone Regional Art Gallery & Museum,151.256132,-23.8431724,Gladstone,QLD
Glasshouse Regional Gallery,152.9100149,-31.4339619,Port Macquarie,NSW
Glen Eira City Council Gallery, 145.02267257109236, -37.87994424043406, Roads Caulfield,VIC
Goolugatup Heathcote,115.8366566,-32.0137091,Applecross,WA
Gosford Regional Gallery,151.3511111,-33.4316667,East Gosford,NSW
Goulburn Regional Art Gallery,149.7198009,-34.7523871,Goulburn,NSW
Grace Cossington Smith Gallery,151.1174435,-33.7183413,Wahroonga,NSW
Grafton Gallery,152.9304319,-29.6889558,Grafton,NSW
Grainger Gallery,149.1643485,-35.3221333,Fyshwick,ACT
Granville Centre Art Gallery,151.0060111,-33.8345097,Granville,NSW
Grassland Gallery,146.3312403,-24.9071275,Tambo,QLD
Grau Projekt,144.9953613,-37.7888762,Clifton Hill,VIC
Griffith Regional Art Gallery,146.0081042,-34.334545,Griffith,NSW
Griffith University Art Museum,153.0199491,-27.4762827,South Bank,QLD
Hahndorf Academy,138.8096715,-35.0288458,Hahndorf,SA
Hamilton Gallery,142.0242865,-37.7433872,Hamilton,VIC
Handmark,147.3281233,-42.8825088,Hobart,TAS
Hawkesbury Regional Gallery,150.821953,-33.6055342,Windsor,NSW
Haydens,144.9776825,-37.7688802,Brunswick East,VIC
Hazelhurst Arts Centre,151.0815765,-34.0324927,Kingsway Gymea,NSW
Heide Museum of Modern Art,145.0829805,-37.757358,Bulleen,VIC
Helgoland,144.9881387,-37.802104,Collingwood,VIC
Hellenic Museum,144.957084,-37.812171,Melbourne,VIC
Hervey Bay Regional Gallery,152.8379313,-25.2838346,Pialba,QLD
Holmes à Court Gallery at Vasse Felix,115.1029727,-33.8512674,Cowaramup,WA
Horsham Regional Art Gallery,142.1984302,-36.7164588,Horsham,VIC
HOTA,144.9918537,-37.8377695,South Yarra,VIC
Hugo Michell Gallery,138.6452299,-34.9176726,Beulah Park,SA
Hurstville Museum & Gallery,151.1024219,-33.964465,Hurstville,NSW
Hyde Park Barracks,151.2082848,-33.8698439,Sydney,NSW
Hyphen – Wodonga Library Gallery,146.8880837,-36.1205539,Wodonga,VIC
Immigration Museum,144.9603977,-37.8191199,Melbourne,VIC
Incinerator Art Space,151.2018087,-33.8114192,Willoughby,NSW
Incinerator Gallery,144.9192614,-37.765935,Moonee Ponds,VIC
Institute of Modern Art,153.0362663,-27.4572735,Fortitude Valley,QLD
Ipswich Art Gallery,152.7608348,-27.6160323,Ipswich,QLD
Islamic Museum of Australia,144.9807272,-37.7545198,Thornbury,VIC
Ivanhoe Library and Cultural Hub,145.0454487,-37.7688774,Ivanhoe,VIC
Jacky Winter Gallery (formerly Lamington Drive),144.9869902,-37.7967457,Collingwood,VIC
Jacob Hoerner Galleries,144.981637,-37.8638261,Kilda,VIC
JahRoc Galleries,115.0769369,-33.9531776,Margaret River,WA
James Makin Gallery,144.9907466,-37.8061873,Collingwood,VIC
JamFactory: Adelaide,138.5999312,-34.9281805,Adelaide,SA
JamFactory: Seppeltsfield,138.9191121,-34.4896437,Seppeltsfield,SA
Jan Manton Gallery,153.0475748,-27.4561795,Teneriffe,QLD
Jan Murphy Gallery,153.0362663,-27.4572735,Fortitude Valley,QLD
Japingka Gallery,115.7445449,-32.0551836,Fremantle,WA
Jerico Contemporary,151.2192218,-33.8718758,Woolloomooloo,NSW
Jewish Museum of Australia,144.981637,-37.8638261,Kilda,VIC
John Curtin Gallery Curtin University,115.9065455,-32.0084461,Bentley,WA
Jump Left,144.9631732,-37.8142454,Melbourne,VIC
Justin Art House Museum JAHM,144.9918537,-37.8377695,South Yarra,VIC
KAMILĖ GALLERY,115.8605784,-31.9558967,Perth,WA
Kate Owen Gallery,151.1743543,-33.8645002,Rozelle,NSW
Kelli Lundberg Art,145.1153474,-38.2431787,Moorooduc,VIC
King Street Gallery on William,151.219225,-33.8783381,Darlinghurst,NSW
Kingston Arts: G1 and G2 Gallery,145.0367934,-37.9343641,Moorabbin,VIC
"Kingston Arts: G3 Gallery, Shirley Burke Theatre",145.0755901,-37.9924751,Parkdale,VIC
KolbuszSpace,115.8605784,-31.9558967,Perth,WA
Koorie Heritage Trust,145.0664244,-37.9767695,Melbourne,VIC
Korean Cultural Centre Australia,151.2082848,-33.8698439,Sydney,NSW
Kyeema Gallery at Capital Wines,149.0667491,-35.1702288,Hall,ACT
La Trobe Art Institute,144.2826718,-36.7590183,Bendigo,VIC
"La Trobe University, Bendigo Campus Phyllis Palmer Gallery",144.2826718,-36.7590183,Bendigo,VIC
Lander—Se,145.0209335,-38.3683762,Red Hill,VIC
Latrobe Art Space,153.0001083,-27.4607525,Paddington,QLD
Latrobe Regional Gallery,146.3942692,-38.2368308,Morwell,VIC
Lauraine Diggins Fine Art,145.0100994,-37.8633951,North Caulfield,VIC
Lavendar Bay Society,151.6699965,-30.4915278,Society of,NSW
Lawrence Wilson Art Gallery & Berndt Museum,115.8175988,-31.9746305,Crawley,WA
Leighton Contemporary,153.05751,-26.4248421,Noosaville,QLD
Lennox St. Gallery,144.9907213,-37.80745,Richmond,VIC
LiddellWORKS,151.1132887,-32.602355,Singleton,NSW
Liminal Gallery + Lab,144.3598241,-38.1493248,Geelong,VIC
Linden New Art,144.981637,-37.8638261,Kilda,VIC
Linton & Kay: Cherubino Wines,115.0462,-33.79548,Wilyabrup,WA
Linton & Kay: Cottesloe Gallery,115.7558367,-31.9955715,Cottesloe,WA
Linton & Kay: Subiaco Gallery,115.8240314,-31.9463298,Subiaco,WA
Linton & Kay: West Perth Gallery,115.841571,-31.9486588,West Perth,WA
