name,longitude,latitude,city,state
Enmore Theatre,151.1742,-33.899,Sydney,
Roseville Cinema,151.1763,-33.7843,Sydney,
Redland Performing Arts Centre,153.2633,-27.5254,Brisbane,
Brisbane Entertainment Centre,153.0696,-27.3448,Brisbane,
Old Museum Building,153.0266,-27.4546,Brisbane,
Cremorne Theatre - QPAC,153.0162,-27.4752,Brisbane,
Tribal Theatre,153.0217,-27.4691,Brisbane,
Nash Theatre,153.0444,-27.4687,Brisbane,
Lyric Theatre - QPAC,153.0189,-27.4742,Brisbane,
Redcliffe Entertainment Centre,153.1113,-27.2258,Brisbane,
The Village Theatre,153.3616,-27.8534,Gold Coast,
Odeon Theatre,147.3249,-42.8834,Hobart,
Peacock Theatre,147.334,-42.8868,Hobart,
Princess Theatre,147.1413,-41.4361,Launceston,
Mountview Theatre,144.5617,-37.4204,Macedon Ranges,
Forge Theatre & Arts Hub,147.6065,-37.8277,Bairnsdale,
Shirley Burke Theatre,145.0767,-37.9947,Melbourne,
Phoenix Theatre Company,144.9848,-37.8823,Melbourne,
Kingston Arts Centre,145.0614,-37.9696,Melbourne,
Plenty Ranges Arts & Convention Centre,145.0686,-37.6438,Melbourne,
Clocktower Centre,144.9247,-37.7658,Melbourne,
Drum Theatre,145.2152,-37.9911,Melbourne,
Marloo Theatre,116.0525,-31.8973,Perth,
The Edith Spiegeltent,115.86,-31.9566,Perth,
Heath Ledger Theatre,115.8595,-31.9498,Perth,
The Quarry Amphitheatre,115.7754,-31.9391,Perth,
Royal Theatre,149.1345,-35.2849,Canberra,
Blue Mountains Theatre and Community Hub,150.5685,-33.6998,Springwood,
Lizotte's Restaurant,151.378,-33.4672,Kincumber,
Dungog James Theatre,151.7583,-32.4022,Hunter Valley,
Lizotte's Restaurant,151.7088,-32.9122,Newcastle,
Wheeler Place Spiegeltent,151.7726,-32.9275,Newcastle,
The Phoenix Theatre,150.8856,-34.4382,Wollongong,
Arcadians Theatre Group,150.8971,-34.3698,Wollongong,
High Country Theatre,151.6717,-30.4938,Armidale,
The Showroom - Twin Towns Clubs & Resorts,153.5417,-28.1755,Tweed Heads,
Milton Theatre,150.4351,-35.3157,Milton,
Shoalhaven Entertainment Centre,150.6022,-34.8687,Nowra,
Oxford Art Factory,151.2139,-33.8778,Sydney,
The Wizard's Hideout - Redfern,151.2068,-33.8916,Sydney,
Glen Street Theatre,151.2106,-33.7412,Sydney,
St. George Bank Auditorium,151.134,-33.9635,Sydney,
"The Evan Theatre, Panthers",150.6861,-33.757,Sydney,
JUTE Theatre,145.7745,-16.9183,Cairns,
Rivergum Theatre Parade College,145.0649,-37.6903,Bundoora,
Gladstone Entertainment Convention Centre,151.259,-23.8479,Gladstone,
Eumundi Amphitheatre and Surrounds,152.937,-26.4493,Sunshine Coast,
Weber Bros Big Top - Maroochydore,153.0868,-26.6649,Sunshine Coast,
Noosa Christian Outreach Centre,153.0389,-26.4119,Sunshine Coast,
Nambour Civic Centre,152.9594,-26.6279,Sunshine Coast,
The Old Ambulance Station Centre,152.962,-26.6273,Sunshine Coast,
Shalom Performing Arts Complex,152.3408,-24.8954,Bundaberg,
Townsville Entertainment & Convention Centre,146.8277,-19.2506,Townsville,
Moncrieff Entertainment Centre,152.3473,-24.8661,Bundaberg,QLD
Brolga Theatre and Convention Centre,152.7043,-25.5341,Maryborough,
Brisbane Convention & Exhibition Centre,153.019,-27.4779,Brisbane,
Queensland Theatre Company,153.0143,-27.4722,Brisbane,
Gold Coast Youth Orchestra,153.3851,-27.9803,Gold Coast,
The Spud Shed - Barn Theatre,139.0633,-35.3874,Langhorne Creek,
Ascot Theatre,137.7146,-33.9634,Kadina,
Keith Michell Theatre,138.0075,-33.1784,Port Pirie,
Gluttony,138.6111,-34.9223,Adelaide,
Scott Theatre,138.6017,-34.9189,Adelaide,
BankSA Theatre at Gluttony - Rymill Park,138.6142,-34.9239,Adelaide,
The Gov,138.5757,-34.9071,Adelaide,
Thebarton Theatre,138.569,-34.9237,Adelaide,
Reading Cinemas Waurn Ponds,144.3185,-38.1968,Geelong,
Garfield Picture Theatre,145.6766,-38.0921,Garfield,VIC
Eastbank Centre,145.3984,-36.3771,Shepparton,
Colac Otways Performing Arts Centre,143.5858,-38.3431,Colac,
Wendouree Centre for Performing Arts,143.8289,-37.5397,Wendouree,
Koroit Theatre,142.3709,-38.2929,Koroit,
Club Voltaire,144.9501,-37.8043,Melbourne,
Motley Spielhaus,144.9585,-37.8081,Melbourne,
Robert Blackwood Hall - Monash University,145.1351,-37.9137,Melbourne,
Cardinia Cultural Centre,145.454,-38.0648,Melbourne,
River Gum Performing Arts Centre,145.2609,-38.0347,Melbourne,
Wyndham Cultural Centre,144.6573,-37.9035,Melbourne,
Queens Park Theatre,114.6121,-28.7769,Geraldton,
Mandurah Performing Arts Centre,115.7201,-32.5257,Mandurah,
Roxy Lane Theatre,115.8929,-31.9287,Perth,
Northbridge Piazza and Super Screen,115.8568,-31.9479,Perth,
The Famous Spiegeltent,115.8569,-31.9491,Perth,
Prendiville Catholic College,115.7399,-31.7538,Perth,
Astor Theatre,115.8723,-31.9342,Perth,
Camelot Theatre,115.7633,-32.0094,Perth,
Koorliny Arts Centre,115.8142,-32.24,Perth,
Winthrop Hall - University of WA,115.8189,-31.975,Perth,
"Windsor Cinema, Luna Palace Cinemas",115.8022,-31.9797,Perth,WA
Regal Theatre,115.8238,-31.9467,Perth,
Belconnen Community Centre,149.0704,-35.2392,Canberra,
Theatre 3 - Canberra Reperatory Society,149.1225,-35.2819,Canberra,
National Convention Centre,149.1341,-35.2849,Canberra,
The Famous Spiegeltent,149.1287,-35.282,Canberra,
The Playhouse,149.1314,-35.281,Canberra,
Goulburn Performing Arts Centre,149.718,-34.7556,Goulburn,
Bathurst Memorial Entertainment Centre,149.5775,-33.4202,Bathurst,
Broken Hill Civic Centre,141.4651,-31.9574,Broken Hill,
DAPA Theatre,151.7469,-32.9256,Newcastle,
Uni Movies,150.88,-34.4085,Wollongong,NSW
Wollongong Workshop Theatre,150.8836,-34.4162,Wollongong,
WIN Entertainment Centre,150.9023,-34.4263,Wollongong,
Capitol Theatre -Tamworth,150.9301,-31.091,Tamworth,
Missingham Bridge Amphitheatre,153.5719,-28.8721,Ballina,
A & I Hall,153.5251,-28.6854,Bangalow,
Nambucca Community and Arts Centre,153.005,-30.642,Nambucca Heads,
Manning Entertainment Centre,152.5154,-31.8966,Taree,
Star Court Theatre,153.2759,-28.8089,Lismore,
The Old Butter Factory,152.804,-31.3214,Telegraph Point,
"The Regent Cinema, Murwillumbah",153.3957,-28.3273,Murwillumbah,
Port Macquarie Panthers,152.8967,-31.4274,Port Macquarie,
The Players Theatre,152.9167,-31.4341,Port Macquarie,
Dubbo Regional Theatre and Convention Centre,148.6064,-32.2468,Dubbo,
The Whitlam Theatre,151.0133,-33.9535,Sydney,
Chippen Street Theatre,151.2004,-33.8878,Sydney,
Palace Central Cinema,151.2007,-33.8846,Sydney,
Darling Quarter,151.2024,-33.8748,Sydney,
City Recital Hall,151.2079,-33.8671,Sydney,
Genesian Theatre,151.2052,-33.8721,Sydney,
The Lair,151.2064,-33.8756,Sydney,
The Bondi Pavilion Theatre,151.2766,-33.8907,Sydney,
The Cell Block Theatre,151.2186,-33.8775,Sydney,
Hordern Pavilion,151.2242,-33.8941,Sydney,
Belvoir Street Theatre,151.2092,-33.8892,Sydney,
Golden Age Cinema and Bar,151.2111,-33.8794,Sydney,
The Gaelic,151.2075,-33.8858,Sydney,
Venue 505,151.2084,-33.89,Sydney,
The Factory Theatre,151.1653,-33.9059,Sydney,
Newtown Theatre,151.1809,-33.9057,Sydney,
Fringe HQ,151.179,-33.8965,Sydney,
Ensemble Theatre,151.2153,-33.8451,Sydney,
Manly Cinemas,151.2853,-33.7996,Sydney,NSW
Sydney Coliseum Theatre,150.8327,-33.7697,Sydney,
Alice Springs Convention Centre,133.8793,-23.7144,Desert Springs,
Hoyts Wetherill Park,150.8979,-33.8567,Sydney,NSW
Joan Sutherland Performing Arts Centre,150.6899,-33.7514,Sydney,
Totem Theatre,133.8809,-23.6934,Araluen,
Darwin Entertainment Centre,130.8368,-12.4603,Darwin,
Centre of Contemporary Arts,145.7745,-16.9183,Cairns,
The Young Company,145.7713,-16.9266,Cairns,
Starry Nights Cinema,145.7537,-16.8992,Cairns,
Tanks Arts Centre,145.7509,-16.8992,Cairns,
Mackay Entertainment & Convention Centre,149.1825,-21.145,Mackay,
Kingston Butter Factory Cultural Precinct,153.1186,-27.6591,Logan Central,
JL Kelly Theatre,146.1535,-18.6611,Ingham,
CCTC Theatre,153.1255,-26.7572,Sunshine Coast,
Pilbeam Theatre,150.5098,-23.373,Rockhampton,
Footlights Theatre Restaurant,150.7271,-23.1339,Yeppoon,
The Majestic Theatre,152.8576,-26.3655,Sunshine Coast,QLD
C-Square,152.9582,-26.6257,Sunshine Coast,
Lind Lane Theatre,152.958,-26.6285,Sunshine Coast,
Bundaberg Playhouse Theatre,152.3339,-24.8771,Bundaberg,
Riverway Arts Centre,146.729,-19.3198,Townsville,QLD
SOA Theatre,146.8135,-19.2599,Townsville,
Growl Theatre,153.0326,-27.4271,Brisbane,
Twelfth Night Theatre,153.0383,-27.4473,Brisbane,
Brisbane Arts Theatre,153.0142,-27.4615,Brisbane,
Gardens Theatre - QUT,153.0277,-27.4778,Brisbane,
The Tiered Thetrette,153.0227,-27.4708,Brisbane,
Sunnybank Performing Arts Centre,153.0747,-27.5727,Brisbane,
"Conservatorium Theatre, Griffith University",153.0208,-27.4772,Brisbane,
ABC Studio 420,153.0205,-27.4754,Brisbane,
Opera Queensland Rehearsal Studio,153.0208,-27.4774,Brisbane,
Burke Street Studios,153.0329,-27.4946,Woolloongabba Brisbane,QLD
The Courthouse Cultural Centre,138.6842,-34.0261,Clare Valley,
"Cerum Theatre, Bond University",153.4166,-28.0724,Gold Coast,
Bonney Theatre,140.4641,-34.2522,Barmera,
Adelaide Event and Exhibition Centre,138.5958,-34.9215,Adelaide,
Arts Theatre,138.603,-34.9304,Adelaide,
Dunstan Playhouse,138.5988,-34.9197,Adelaide,
Gluttony - Excess Theatre,138.6109,-34.9236,Adelaide,
Her Majestys Theatre,138.597,-34.9283,Adelaide,
"The Vault, Fool's Paradise",138.5999,-34.9281,Adelaide,
Trinity Sessions,138.5901,-34.9643,Adelaide,
The Goodwood Institute,138.5896,-34.9534,Adelaide,
The Parks Theatre,138.5587,-34.8574,Adelaide,
Derwent Entertainment Centre,147.2819,-42.8247,Hobart,
Brighton Performing Arts Centre,138.5208,-35.0031,Adelaide,
Stanley Burbury Theatre,147.3257,-42.9047,Hobart,
Salamanca Arts Centre,147.3337,-42.8869,Hobart,
The Star Theatre,147.1342,-41.4184,Launceston,
The Pivotonian Cinema,144.3556,-38.1586,Geelong,
State Cinema,147.315,-42.8722,Hobart,
Chiltern Star Theatre,146.6093,-36.1512,Chiltern,
The Paragon Theatre,145.5546,-42.0801,Queenstown,
Castlemaine Phee Broadway Theatre,144.217,-37.0639,Castlemaine,
Echuca Paramount Theatre,144.7488,-36.1301,Echuca,
Bendigo Performing Arts Centre,144.2764,-36.7572,Bendigo,
Kyabram Plaza Theatre,145.0491,-36.3132,Kyabram,
The Cube Wodonga,146.8895,-36.1227,Wodonga,
Shepparton Theatre Arts Group Inc.,145.4199,-36.3753,Shepparton,
West Gippsland Arts Centre,145.9328,-38.1593,Warragul,
Lighthouse Theatre,142.4819,-38.3855,Warrnambool,
Warrnambool Entertainment Centre,142.4819,-38.3855,Warrnambool,
Burrinja Cultural Centre,145.3347,-37.9171,Upwey,
The David. P. Derham Theatre,144.9598,-37.8023,Melbourne,
The Dark,144.9916,-37.7996,Melbourne,
The Melba Studio,144.9869,-37.7994,Melbourne,
The Secret Room,144.9867,-37.7997,Melbourne,
ILBIJERRI Theatre Company,144.9846,-37.7991,Melbourne,
House of Burlesque,144.9633,-37.8141,Melbourne,
Athenaeum Theatre,144.9673,-37.8148,Melbourne,
Comedy on Collins,144.9682,-37.8146,Melbourne,
Peter Calvo Auditorium,144.9565,-37.8172,Melbourne,
Princess Theatre,144.9723,-37.8107,Melbourne,
RMIT Capitol Theatre,144.966,-37.815,Melbourne,
Fritz Loewe Theatre - University of Melbourne,144.9646,-37.7967,Melbourne,
The Improv Conspiracy,144.9721,-37.8122,Melbourne,VIC
Theatre Royal,145.0456,-38.2145,Melbourne,
Renaissance Theatre,145.0453,-37.8016,Melbourne,
The 1812 Theatre,145.3109,-37.8943,Melbourne,
Theatre Works,144.9759,-37.8643,Melbourne,
Grant Street Theatre,144.9682,-37.8257,Melbourne,
Malthouse Theatre,144.9663,-37.8269,Melbourne,
Melbourne Recital Centre,144.9672,-37.8242,Melbourne,
One Space Two,144.9779,-37.8598,Melbourne,
Palais Theatre,144.9751,-37.8668,Melbourne,
"Menzies Theatre, La Trobe Univeristy",145.0387,-37.7193,Melbourne,
Kew Court House Performing Arts Centre,145.0318,-37.8067,Melbourne,
Frankston Arts Centre,145.1225,-38.1463,Melbourne,
Alexander Theatre,145.2716,-37.9287,Melbourne,
The Maven Room,145.111,-37.8583,Melbourne,
Circus Royale Big Top,144.911,-37.5902,Melbourne,
Firehouse Theatre,145.0471,-37.876,Melbourne,
Peninsula Grammar Performing Arts Centre,145.0923,-38.1975,Melbourne,
The Round,145.1817,-37.8177,Melbourne,
Northern Theatre Company,144.9601,-37.7716,Melbourne,
Black Box Studio,145.3344,-37.9176,Melbourne,
Waterdale Theatre,145.0155,-37.6706,Melbourne,
David Li Sound Gallery,145.1334,-37.9137,Melbourne,
Masquerade Performing Arts,145.336,-38.037,Melbourne,
Maltese Cultural Centre,144.8249,-37.7785,Melbourne,
Little Theatre,115.7001,-33.3129,Australind,
Circus Big Top - Narre Warren,145.3043,-38.0172,Melbourne,
Langwarrin Performing Arts Centre,145.1898,-38.159,Melbourne,
Melbourne One80,144.7996,-37.7933,Melbourne,
Williamstown Little Theatre Inc,144.8958,-37.8531,Melbourne,
The Lakes Theatre,115.7612,-32.4778,Mandurah,
Bendigo Bank Music Shell,116.1522,-33.3583,Collie Burn,
Albany Entertainment Centre,117.8866,-35.0294,Albany,
Chrissie Parrott Arts,115.8974,-31.9231,Perth,
Limelight Theatre,115.8078,-31.7551,Perth,
