state,institution,year,faculty,enrolments
New South Wales,The University of Sydney,2022,Non-Award Courses,1237
New South Wales,The University of Sydney,2023,Natural and Physical Sciences,9730
New South Wales,The University of Sydney,2023,Information Technology,5140
New South Wales,The University of Sydney,2023,Engineering and Related Technologies,7562
New South Wales,The University of Sydney,2023,Architecture and Building,3015
New South Wales,The University of Sydney,2023,"Agriculture, Environmental and Related Studies",528
New South Wales,The University of Sydney,2023,Health,12077
New South Wales,The University of Sydney,2023,Education,2761
New South Wales,The University of Sydney,2023,Management and Commerce,15769
New South Wales,The University of Sydney,2023,Society and Culture,18360
New South Wales,The University of Sydney,2023,Creative Arts,3977
New South Wales,The University of Sydney,2023,Non-Award Courses,1223
New South Wales,The University of Sydney,2024,Natural and Physical Sciences,10087
New South Wales,The University of Sydney,2024,Information Technology,5329
New South Wales,The University of Sydney,2024,Engineering and Related Technologies,7840
New South Wales,The University of Sydney,2024,Architecture and Building,3126
New South Wales,The University of Sydney,2024,"Agriculture, Environmental and Related Studies",547
New South Wales,The University of Sydney,2024,Health,12520
New South Wales,The University of Sydney,2024,Education,2862
New South Wales,The University of Sydney,2024,Management and Commerce,16348
New South Wales,The University of Sydney,2024,Society and Culture,19034
New South Wales,The University of Sydney,2024,Creative Arts,4123
New South Wales,The University of Sydney,2024,Non-Award Courses,1268
New South Wales,University of New South Wales,2020,Natural and Physical Sciences,6630
New South Wales,University of New South Wales,2020,Information Technology,9599
New South Wales,University of New South Wales,2020,Engineering and Related Technologies,11696
New South Wales,University of New South Wales,2020,Architecture and Building,2364
New South Wales,University of New South Wales,2020,"Agriculture, Environmental and Related Studies",159
New South Wales,University of New South Wales,2020,Health,4096
New South Wales,University of New South Wales,2020,Education,1908
New South Wales,University of New South Wales,2020,Management and Commerce,19118
New South Wales,University of New South Wales,2020,Society and Culture,9949
New South Wales,University of New South Wales,2020,Creative Arts,4316
New South Wales,University of New South Wales,2020,Non-Award Courses,968
New South Wales,University of New South Wales,2021,Natural and Physical Sciences,6872
New South Wales,University of New South Wales,2021,Information Technology,9950
New South Wales,University of New South Wales,2021,Engineering and Related Technologies,12124
New South Wales,University of New South Wales,2021,Architecture and Building,2450
New South Wales,University of New South Wales,2021,"Agriculture, Environmental and Related Studies",165
New South Wales,University of New South Wales,2021,Health,4246
New South Wales,University of New South Wales,2021,Education,1978
New South Wales,University of New South Wales,2021,Management and Commerce,19817
New South Wales,University of New South Wales,2021,Society and Culture,10313
New South Wales,University of New South Wales,2021,Creative Arts,4473
New South Wales,University of New South Wales,2021,Non-Award Courses,1003
New South Wales,University of New South Wales,2022,Natural and Physical Sciences,6963
New South Wales,University of New South Wales,2022,Information Technology,10082
New South Wales,University of New South Wales,2022,Engineering and Related Technologies,12283
New South Wales,University of New South Wales,2022,Architecture and Building,2482
New South Wales,University of New South Wales,2022,"Agriculture, Environmental and Related Studies",167
New South Wales,University of New South Wales,2022,Health,4302
New South Wales,University of New South Wales,2022,Education,2004
New South Wales,University of New South Wales,2022,Management and Commerce,20078
New South Wales,University of New South Wales,2022,Society and Culture,10449
New South Wales,University of New South Wales,2022,Creative Arts,4532
New South Wales,University of New South Wales,2022,Non-Award Courses,1016
New South Wales,University of New South Wales,2023,Natural and Physical Sciences,7369
New South Wales,University of New South Wales,2023,Information Technology,10670
New South Wales,University of New South Wales,2023,Engineering and Related Technologies,13000
New South Wales,University of New South Wales,2023,Architecture and Building,2627
New South Wales,University of New South Wales,2023,"Agriculture, Environmental and Related Studies",177
New South Wales,University of New South Wales,2023,Health,4553
New South Wales,University of New South Wales,2023,Education,2121
New South Wales,University of New South Wales,2023,Management and Commerce,21250
New South Wales,University of New South Wales,2023,Society and Culture,11059
New South Wales,University of New South Wales,2023,Creative Arts,4797
New South Wales,University of New South Wales,2023,Non-Award Courses,1075
New South Wales,University of New South Wales,2024,Natural and Physical Sciences,8620
New South Wales,University of New South Wales,2024,Information Technology,12481
New South Wales,University of New South Wales,2024,Engineering and Related Technologies,15207
New South Wales,University of New South Wales,2024,Architecture and Building,3073
New South Wales,University of New South Wales,2024,"Agriculture, Environmental and Related Studies",207
New South Wales,University of New South Wales,2024,Health,5326
New South Wales,University of New South Wales,2024,Education,2481
New South Wales,University of New South Wales,2024,Management and Commerce,24857
New South Wales,University of New South Wales,2024,Society and Culture,12936
New South Wales,University of New South Wales,2024,Creative Arts,5611
New South Wales,University of New South Wales,2024,Non-Award Courses,1258
New South Wales,University of Technology Sydney,2020,Natural and Physical Sciences,4817
New South Wales,University of Technology Sydney,2020,Information Technology,5944
New South Wales,University of Technology Sydney,2020,Engineering and Related Technologies,6721
New South Wales,University of Technology Sydney,2020,Architecture and Building,2563
New South Wales,University of Technology Sydney,2020,"Agriculture, Environmental and Related Studies",81
New South Wales,University of Technology Sydney,2020,Health,5226
New South Wales,University of Technology Sydney,2020,Education,900
New South Wales,University of Technology Sydney,2020,Management and Commerce,12937
New South Wales,University of Technology Sydney,2020,Society and Culture,6976
New South Wales,University of Technology Sydney,2020,Creative Arts,5142
New South Wales,University of Technology Sydney,2020,Non-Award Courses,387
New South Wales,University of Technology Sydney,2021,Natural and Physical Sciences,4500
New South Wales,University of Technology Sydney,2021,Information Technology,5553
New South Wales,University of Technology Sydney,2021,Engineering and Related Technologies,6279
New South Wales,University of Technology Sydney,2021,Architecture and Building,2394
New South Wales,University of Technology Sydney,2021,"Agriculture, Environmental and Related Studies",75
New South Wales,University of Technology Sydney,2021,Health,4883
New South Wales,University of Technology Sydney,2021,Education,841
New South Wales,University of Technology Sydney,2021,Management and Commerce,12087
New South Wales,University of Technology Sydney,2021,Society and Culture,6517
New South Wales,University of Technology Sydney,2021,Creative Arts,4804
New South Wales,University of Technology Sydney,2021,Non-Award Courses,362
New South Wales,University of Technology Sydney,2022,Natural and Physical Sciences,4658
New South Wales,University of Technology Sydney,2022,Information Technology,5748
New South Wales,University of Technology Sydney,2022,Engineering and Related Technologies,6498
New South Wales,University of Technology Sydney,2022,Architecture and Building,2478
New South Wales,University of Technology Sydney,2022,"Agriculture, Environmental and Related Studies",78
New South Wales,University of Technology Sydney,2022,Health,5053
New South Wales,University of Technology Sydney,2022,Education,871
New South Wales,University of Technology Sydney,2022,Management and Commerce,12509
New South Wales,University of Technology Sydney,2022,Society and Culture,6745
New South Wales,University of Technology Sydney,2022,Creative Arts,4972
New South Wales,University of Technology Sydney,2022,Non-Award Courses,375
New South Wales,University of Technology Sydney,2023,Natural and Physical Sciences,4976
New South Wales,University of Technology Sydney,2023,Information Technology,6141
New South Wales,University of Technology Sydney,2023,Engineering and Related Technologies,6943
New South Wales,University of Technology Sydney,2023,Architecture and Building,2647
New South Wales,University of Technology Sydney,2023,"Agriculture, Environmental and Related Studies",83
New South Wales,University of Technology Sydney,2023,Health,5399
New South Wales,University of Technology Sydney,2023,Education,930
New South Wales,University of Technology Sydney,2023,Management and Commerce,13365
New South Wales,University of Technology Sydney,2023,Society and Culture,7206
New South Wales,University of Technology Sydney,2023,Creative Arts,5312
New South Wales,University of Technology Sydney,2023,Non-Award Courses,400
New South Wales,University of Technology Sydney,2024,Natural and Physical Sciences,5248
New South Wales,University of Technology Sydney,2024,Information Technology,6476
New South Wales,University of Technology Sydney,2024,Engineering and Related Technologies,7322
New South Wales,University of Technology Sydney,2024,Architecture and Building,2792
New South Wales,University of Technology Sydney,2024,"Agriculture, Environmental and Related Studies",88
New South Wales,University of Technology Sydney,2024,Health,5694
New South Wales,University of Technology Sydney,2024,Education,981
New South Wales,University of Technology Sydney,2024,Management and Commerce,14095
New South Wales,University of Technology Sydney,2024,Society and Culture,7600
New South Wales,University of Technology Sydney,2024,Creative Arts,5602
New South Wales,University of Technology Sydney,2024,Non-Award Courses,422
New South Wales,University of Wollongong,2020,Natural and Physical Sciences,2030
New South Wales,University of Wollongong,2020,Information Technology,7031
New South Wales,University of Wollongong,2020,Engineering and Related Technologies,3379
New South Wales,University of Wollongong,2020,"Agriculture, Environmental and Related Studies",137
New South Wales,University of Wollongong,2020,Health,4708
New South Wales,University of Wollongong,2020,Education,2804
New South Wales,University of Wollongong,2020,Management and Commerce,6656
New South Wales,University of Wollongong,2020,Society and Culture,5091
New South Wales,University of Wollongong,2020,Creative Arts,1788
New South Wales,University of Wollongong,2020,Mixed Field Programmes,144
New South Wales,University of Wollongong,2020,Non-Award Courses,612
New South Wales,University of Wollongong,2021,Natural and Physical Sciences,1949
New South Wales,University of Wollongong,2021,Information Technology,6749
New South Wales,University of Wollongong,2021,Engineering and Related Technologies,3244
New South Wales,University of Wollongong,2021,"Agriculture, Environmental and Related Studies",132
New South Wales,University of Wollongong,2021,Health,4519
New South Wales,University of Wollongong,2021,Education,2692
New South Wales,University of Wollongong,2021,Management and Commerce,6389
New South Wales,University of Wollongong,2021,Society and Culture,4887
New South Wales,University of Wollongong,2021,Creative Arts,1717
New South Wales,University of Wollongong,2021,Mixed Field Programmes,138
New South Wales,University of Wollongong,2021,Non-Award Courses,587
New South Wales,University of Wollongong,2022,Natural and Physical Sciences,1893
New South Wales,University of Wollongong,2022,Information Technology,6559
New South Wales,University of Wollongong,2022,Engineering and Related Technologies,3152
New South Wales,University of Wollongong,2022,"Agriculture, Environmental and Related Studies",128
New South Wales,University of Wollongong,2022,Health,4392
New South Wales,University of Wollongong,2022,Education,2616
New South Wales,University of Wollongong,2022,Management and Commerce,6209
New South Wales,University of Wollongong,2022,Society and Culture,4749
New South Wales,University of Wollongong,2022,Creative Arts,1668
New South Wales,University of Wollongong,2022,Mixed Field Programmes,134
New South Wales,University of Wollongong,2022,Non-Award Courses,571
New South Wales,University of Wollongong,2023,Natural and Physical Sciences,2074
New South Wales,University of Wollongong,2023,Information Technology,7183
New South Wales,University of Wollongong,2023,Engineering and Related Technologies,3452
New South Wales,University of Wollongong,2023,"Agriculture, Environmental and Related Studies",140
New South Wales,University of Wollongong,2023,Health,4809
New South Wales,University of Wollongong,2023,Education,2865
New South Wales,University of Wollongong,2023,Management and Commerce,6799
New South Wales,University of Wollongong,2023,Society and Culture,5201
New South Wales,University of Wollongong,2023,Creative Arts,1827
New South Wales,University of Wollongong,2023,Mixed Field Programmes,147
New South Wales,University of Wollongong,2023,Non-Award Courses,625
New South Wales,University of Wollongong,2024,Natural and Physical Sciences,2126
New South Wales,University of Wollongong,2024,Information Technology,7364
New South Wales,University of Wollongong,2024,Engineering and Related Technologies,3539
New South Wales,University of Wollongong,2024,"Agriculture, Environmental and Related Studies",144
New South Wales,University of Wollongong,2024,Health,4931
New South Wales,University of Wollongong,2024,Education,2937
New South Wales,University of Wollongong,2024,Management and Commerce,6971
New South Wales,University of Wollongong,2024,Society and Culture,5332
New South Wales,University of Wollongong,2024,Creative Arts,1873
New South Wales,University of Wollongong,2024,Mixed Field Programmes,151
New South Wales,University of Wollongong,2024,Non-Award Courses,641
New South Wales,Western Sydney University,2020,Natural and Physical Sciences,3677
New South Wales,Western Sydney University,2020,Information Technology,2539
New South Wales,Western Sydney University,2020,Engineering and Related Technologies,2562
New South Wales,Western Sydney University,2020,Architecture and Building,3322
New South Wales,Western Sydney University,2020,"Agriculture, Environmental and Related Studies",20
New South Wales,Western Sydney University,2020,Health,12218
New South Wales,Western Sydney University,2020,Education,2989
New South Wales,Western Sydney University,2020,Management and Commerce,8374
New South Wales,Western Sydney University,2020,Society and Culture,11913
New South Wales,Western Sydney University,2020,Creative Arts,1869
New South Wales,Western Sydney University,2020,Mixed Field Programmes,222
New South Wales,Western Sydney University,2020,Non-Award Courses,177
New South Wales,Western Sydney University,2021,Natural and Physical Sciences,3646
New South Wales,Western Sydney University,2021,Information Technology,2518
New South Wales,Western Sydney University,2021,Engineering and Related Technologies,2541
New South Wales,Western Sydney University,2021,Architecture and Building,3295
New South Wales,Western Sydney University,2021,"Agriculture, Environmental and Related Studies",20
New South Wales,Western Sydney University,2021,Health,12117
New South Wales,Western Sydney University,2021,Education,2964
New South Wales,Western Sydney University,2021,Management and Commerce,8304
New South Wales,Western Sydney University,2021,Society and Culture,11814
New South Wales,Western Sydney University,2021,Creative Arts,1854
New South Wales,Western Sydney University,2021,Mixed Field Programmes,220
New South Wales,Western Sydney University,2021,Non-Award Courses,176
New South Wales,Western Sydney University,2022,Natural and Physical Sciences,3514
New South Wales,Western Sydney University,2022,Information Technology,2426
New South Wales,Western Sydney University,2022,Engineering and Related Technologies,2449
New South Wales,Western Sydney University,2022,Architecture and Building,3175
New South Wales,Western Sydney University,2022,"Agriculture, Environmental and Related Studies",20
New South Wales,Western Sydney University,2022,Health,11677
New South Wales,Western Sydney University,2022,Education,2856
New South Wales,Western Sydney University,2022,Management and Commerce,8003
New South Wales,Western Sydney University,2022,Society and Culture,11385
New South Wales,Western Sydney University,2022,Creative Arts,1786
New South Wales,Western Sydney University,2022,Mixed Field Programmes,212
New South Wales,Western Sydney University,2022,Non-Award Courses,169
New South Wales,Western Sydney University,2023,Natural and Physical Sciences,3494
New South Wales,Western Sydney University,2023,Information Technology,2412
New South Wales,Western Sydney University,2023,Engineering and Related Technologies,2435
New South Wales,Western Sydney University,2023,Architecture and Building,3157
New South Wales,Western Sydney University,2023,"Agriculture, Environmental and Related Studies",19
New South Wales,Western Sydney University,2023,Health,11610
New South Wales,Western Sydney University,2023,Education,2840
New South Wales,Western Sydney University,2023,Management and Commerce,7956
New South Wales,Western Sydney University,2023,Society and Culture,11320
New South Wales,Western Sydney University,2023,Creative Arts,1776
New South Wales,Western Sydney University,2023,Mixed Field Programmes,211
New South Wales,Western Sydney University,2023,Non-Award Courses,168
New South Wales,Western Sydney University,2024,Natural and Physical Sciences,3590
New South Wales,Western Sydney University,2024,Information Technology,2479
New South Wales,Western Sydney University,2024,Engineering and Related Technologies,2502
New South Wales,Western Sydney University,2024,Architecture and Building,3244
New South Wales,Western Sydney University,2024,"Agriculture, Environmental and Related Studies",20
New South Wales,Western Sydney University,2024,Health,11930
New South Wales,Western Sydney University,2024,Education,2918
New South Wales,Western Sydney University,2024,Management and Commerce,8176
New South Wales,Western Sydney University,2024,Society and Culture,11632
New South Wales,Western Sydney University,2024,Creative Arts,1825
New South Wales,Western Sydney University,2024,Mixed Field Programmes,217
New South Wales,Western Sydney University,2024,Non-Award Courses,173
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,2020,Society and Culture,26
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,2021,Society and Culture,15
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,2022,Society and Culture,18
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,2023,Society and Culture,28
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,2024,Society and Culture,22
Northern Territory,Charles Darwin University,2020,Natural and Physical Sciences,306
Northern Territory,Charles Darwin University,2020,Information Technology,1447
Northern Territory,Charles Darwin University,2020,Engineering and Related Technologies,915
Northern Territory,Charles Darwin University,2020,"Agriculture, Environmental and Related Studies",306
Northern Territory,Charles Darwin University,2020,Health,4285
Northern Territory,Charles Darwin University,2020,Education,1895
Northern Territory,Charles Darwin University,2020,Management and Commerce,1112
Northern Territory,Charles Darwin University,2020,Society and Culture,2383
Northern Territory,Charles Darwin University,2020,Creative Arts,21
Northern Territory,Charles Darwin University,2020,Mixed Field Programmes,1135
Northern Territory,Charles Darwin University,2020,Non-Award Courses,35
Northern Territory,Charles Darwin University,2021,Natural and Physical Sciences,325
Northern Territory,Charles Darwin University,2021,Information Technology,1536
Northern Territory,Charles Darwin University,2021,Engineering and Related Technologies,972
Northern Territory,Charles Darwin University,2021,"Agriculture, Environmental and Related Studies",325
Northern Territory,Charles Darwin University,2021,Health,4550
Northern Territory,Charles Darwin University,2021,Education,2012
Northern Territory,Charles Darwin University,2021,Management and Commerce,1180
Northern Territory,Charles Darwin University,2021,Society and Culture,2531
Northern Territory,Charles Darwin University,2021,Creative Arts,22
Northern Territory,Charles Darwin University,2021,Mixed Field Programmes,1206
Northern Territory,Charles Darwin University,2021,Non-Award Courses,37
Northern Territory,Charles Darwin University,2022,Natural and Physical Sciences,287
Northern Territory,Charles Darwin University,2022,Information Technology,1358
Northern Territory,Charles Darwin University,2022,Engineering and Related Technologies,859
Northern Territory,Charles Darwin University,2022,"Agriculture, Environmental and Related Studies",287
Northern Territory,Charles Darwin University,2022,Health,4023
Northern Territory,Charles Darwin University,2022,Education,1779
Northern Territory,Charles Darwin University,2022,Management and Commerce,1044
Northern Territory,Charles Darwin University,2022,Society and Culture,2237
Northern Territory,Charles Darwin University,2022,Creative Arts,19
Northern Territory,Charles Darwin University,2022,Mixed Field Programmes,1066
Northern Territory,Charles Darwin University,2022,Non-Award Courses,32
Northern Territory,Charles Darwin University,2023,Natural and Physical Sciences,288
Northern Territory,Charles Darwin University,2023,Information Technology,1364
Northern Territory,Charles Darwin University,2023,Engineering and Related Technologies,863
Northern Territory,Charles Darwin University,2023,"Agriculture, Environmental and Related Studies",288
Northern Territory,Charles Darwin University,2023,Health,4040
Northern Territory,Charles Darwin University,2023,Education,1787
Northern Territory,Charles Darwin University,2023,Management and Commerce,1048
Northern Territory,Charles Darwin University,2023,Society and Culture,2247
Northern Territory,Charles Darwin University,2023,Creative Arts,19
Northern Territory,Charles Darwin University,2023,Mixed Field Programmes,1070
Northern Territory,Charles Darwin University,2023,Non-Award Courses,33
Northern Territory,Charles Darwin University,2024,Natural and Physical Sciences,283
Northern Territory,Charles Darwin University,2024,Information Technology,1339
Northern Territory,Charles Darwin University,2024,Engineering and Related Technologies,847
Northern Territory,Charles Darwin University,2024,"Agriculture, Environmental and Related Studies",283
Northern Territory,Charles Darwin University,2024,Health,3966
Northern Territory,Charles Darwin University,2024,Education,1754
Northern Territory,Charles Darwin University,2024,Management and Commerce,1029
Northern Territory,Charles Darwin University,2024,Society and Culture,2206
Northern Territory,Charles Darwin University,2024,Creative Arts,19
Northern Territory,Charles Darwin University,2024,Mixed Field Programmes,1051
Northern Territory,Charles Darwin University,2024,Non-Award Courses,32
Queensland,Bond University,2020,Natural and Physical Sciences,204
Queensland,Bond University,2020,Information Technology,10
Queensland,Bond University,2020,Architecture and Building,483
Queensland,Bond University,2020,"Agriculture, Environmental and Related Studies",3
Queensland,Bond University,2020,Health,1522
Queensland,Bond University,2020,Education,8
Queensland,Bond University,2020,Management and Commerce,1199
Queensland,Bond University,2020,Society and Culture,1445
Queensland,Bond University,2020,Creative Arts,209
Queensland,Bond University,2020,Mixed Field Programmes,42
Queensland,Bond University,2020,Non-Award Courses,628
Queensland,Bond University,2021,Natural and Physical Sciences,189
Queensland,Bond University,2021,Information Technology,10
Queensland,Bond University,2021,Architecture and Building,446
Queensland,Bond University,2021,"Agriculture, Environmental and Related Studies",3
Queensland,Bond University,2021,Health,1407
Queensland,Bond University,2021,Education,8
Queensland,Bond University,2021,Management and Commerce,1108
Queensland,Bond University,2021,Society and Culture,1336
Queensland,Bond University,2021,Creative Arts,193
Queensland,Bond University,2021,Mixed Field Programmes,39
Queensland,Bond University,2021,Non-Award Courses,580
Queensland,Bond University,2022,Natural and Physical Sciences,204
Queensland,Bond University,2022,Information Technology,10
Queensland,Bond University,2022,Architecture and Building,482
Queensland,Bond University,2022,"Agriculture, Environmental and Related Studies",3
Queensland,Bond University,2022,Health,1521
Queensland,Bond University,2022,Education,8
Queensland,Bond University,2022,Management and Commerce,1197
Queensland,Bond University,2022,Society and Culture,1444
Queensland,Bond University,2022,Creative Arts,209
Queensland,Bond University,2022,Mixed Field Programmes,42
Queensland,Bond University,2022,Non-Award Courses,627
Queensland,Bond University,2023,Natural and Physical Sciences,209
Queensland,Bond University,2023,Information Technology,11
Queensland,Bond University,2023,Architecture and Building,493
Queensland,Bond University,2023,"Agriculture, Environmental and Related Studies",3
Queensland,Bond University,2023,Health,1556
Queensland,Bond University,2023,Education,9
Queensland,Bond University,2023,Management and Commerce,1225
Queensland,Bond University,2023,Society and Culture,1477
Queensland,Bond University,2023,Creative Arts,213
Queensland,Bond University,2023,Mixed Field Programmes,43
Queensland,Bond University,2023,Non-Award Courses,641
Queensland,Bond University,2024,Natural and Physical Sciences,217
Queensland,Bond University,2024,Information Technology,11
Queensland,Bond University,2024,Architecture and Building,513
Queensland,Bond University,2024,"Agriculture, Environmental and Related Studies",3
Queensland,Bond University,2024,Health,1618
Queensland,Bond University,2024,Education,9
Queensland,Bond University,2024,Management and Commerce,1274
Queensland,Bond University,2024,Society and Culture,1536
Queensland,Bond University,2024,Creative Arts,222
Queensland,Bond University,2024,Mixed Field Programmes,45
Queensland,Bond University,2024,Non-Award Courses,667
Queensland,CQUniversity,2020,Natural and Physical Sciences,380
Queensland,CQUniversity,2020,Information Technology,2682
Queensland,CQUniversity,2020,Engineering and Related Technologies,1630
Queensland,CQUniversity,2020,Architecture and Building,600
Queensland,CQUniversity,2020,"Agriculture, Environmental and Related Studies",276
Queensland,CQUniversity,2020,Health,8630
Queensland,CQUniversity,2020,Education,2606
Queensland,CQUniversity,2020,Management and Commerce,3658
Queensland,CQUniversity,2020,Society and Culture,2659
Queensland,CQUniversity,2020,Creative Arts,393
Queensland,CQUniversity,2020,Mixed Field Programmes,1711
Queensland,CQUniversity,2020,Non-Award Courses,612
Queensland,CQUniversity,2021,Natural and Physical Sciences,337
Queensland,CQUniversity,2021,Information Technology,2376
Queensland,CQUniversity,2021,Engineering and Related Technologies,1444
Queensland,CQUniversity,2021,Architecture and Building,532
Queensland,CQUniversity,2021,"Agriculture, Environmental and Related Studies",244
Queensland,CQUniversity,2021,Health,7644
Queensland,CQUniversity,2021,Education,2308
Queensland,CQUniversity,2021,Management and Commerce,3240
Queensland,CQUniversity,2021,Society and Culture,2355
Queensland,CQUniversity,2021,Creative Arts,348
Queensland,CQUniversity,2021,Mixed Field Programmes,1516
Queensland,CQUniversity,2021,Non-Award Courses,542
Queensland,CQUniversity,2022,Natural and Physical Sciences,325
Queensland,CQUniversity,2022,Information Technology,2294
Queensland,CQUniversity,2022,Engineering and Related Technologies,1394
Queensland,CQUniversity,2022,Architecture and Building,513
Queensland,CQUniversity,2022,"Agriculture, Environmental and Related Studies",236
Queensland,CQUniversity,2022,Health,7382
Queensland,CQUniversity,2022,Education,2229
Queensland,CQUniversity,2022,Management and Commerce,3129
Queensland,CQUniversity,2022,Society and Culture,2274
Queensland,CQUniversity,2022,Creative Arts,336
Queensland,CQUniversity,2022,Mixed Field Programmes,1464
Queensland,CQUniversity,2022,Non-Award Courses,523
Queensland,CQUniversity,2023,Natural and Physical Sciences,325
Queensland,CQUniversity,2023,Information Technology,2293
Queensland,CQUniversity,2023,Engineering and Related Technologies,1393
Queensland,CQUniversity,2023,Architecture and Building,513
Queensland,CQUniversity,2023,"Agriculture, Environmental and Related Studies",236
Queensland,CQUniversity,2023,Health,7377
Queensland,CQUniversity,2023,Education,2227
Queensland,CQUniversity,2023,Management and Commerce,3127
Queensland,CQUniversity,2023,Society and Culture,2273
Queensland,CQUniversity,2023,Creative Arts,336
Queensland,CQUniversity,2023,Mixed Field Programmes,1463
Queensland,CQUniversity,2023,Non-Award Courses,523
Queensland,CQUniversity,2024,Natural and Physical Sciences,327
Queensland,CQUniversity,2024,Information Technology,2306
Queensland,CQUniversity,2024,Engineering and Related Technologies,1401
Queensland,CQUniversity,2024,Architecture and Building,516
Queensland,CQUniversity,2024,"Agriculture, Environmental and Related Studies",237
Queensland,CQUniversity,2024,Health,7419
Queensland,CQUniversity,2024,Education,2240
Queensland,CQUniversity,2024,Management and Commerce,3145
Queensland,CQUniversity,2024,Society and Culture,2286
Queensland,CQUniversity,2024,Creative Arts,338
Queensland,CQUniversity,2024,Mixed Field Programmes,1471
Queensland,CQUniversity,2024,Non-Award Courses,526
Queensland,Griffith University,2020,Natural and Physical Sciences,3750
Queensland,Griffith University,2020,Information Technology,3110
Queensland,Griffith University,2020,Engineering and Related Technologies,2438
Queensland,Griffith University,2020,Architecture and Building,662
Queensland,Griffith University,2020,"Agriculture, Environmental and Related Studies",720
Queensland,Griffith University,2020,Health,10418
Queensland,Griffith University,2020,Education,4660
Queensland,Griffith University,2020,Management and Commerce,9253
Queensland,Griffith University,2020,Society and Culture,12137
Queensland,Griffith University,2020,Creative Arts,3939
Queensland,Griffith University,2020,Mixed Field Programmes,77
Queensland,Griffith University,2020,Non-Award Courses,1056
Queensland,Griffith University,2021,Natural and Physical Sciences,3711
Queensland,Griffith University,2021,Information Technology,3077
Queensland,Griffith University,2021,Engineering and Related Technologies,2413
Queensland,Griffith University,2021,Architecture and Building,655
Queensland,Griffith University,2021,"Agriculture, Environmental and Related Studies",713
Queensland,Griffith University,2021,Health,10310
Queensland,Griffith University,2021,Education,4612
Queensland,Griffith University,2021,Management and Commerce,9157
Queensland,Griffith University,2021,Society and Culture,12012
Queensland,Griffith University,2021,Creative Arts,3898
Queensland,Griffith University,2021,Mixed Field Programmes,76
Queensland,Griffith University,2021,Non-Award Courses,1045
Queensland,Griffith University,2022,Natural and Physical Sciences,3466
Queensland,Griffith University,2022,Information Technology,2874
Queensland,Griffith University,2022,Engineering and Related Technologies,2254
Queensland,Griffith University,2022,Architecture and Building,612
Queensland,Griffith University,2022,"Agriculture, Environmental and Related Studies",666
Queensland,Griffith University,2022,Health,9629
Queensland,Griffith University,2022,Education,4308
Queensland,Griffith University,2022,Management and Commerce,8552
Queensland,Griffith University,2022,Society and Culture,11218
Queensland,Griffith University,2022,Creative Arts,3641
Queensland,Griffith University,2022,Mixed Field Programmes,71
Queensland,Griffith University,2022,Non-Award Courses,976
Queensland,Griffith University,2023,Natural and Physical Sciences,3426
Queensland,Griffith University,2023,Information Technology,2841
Queensland,Griffith University,2023,Engineering and Related Technologies,2228
Queensland,Griffith University,2023,Architecture and Building,605
Queensland,Griffith University,2023,"Agriculture, Environmental and Related Studies",658
Queensland,Griffith University,2023,Health,9519
Queensland,Griffith University,2023,Education,4258
Queensland,Griffith University,2023,Management and Commerce,8455
Queensland,Griffith University,2023,Society and Culture,11090
Queensland,Griffith University,2023,Creative Arts,3599
Queensland,Griffith University,2023,Mixed Field Programmes,70
Queensland,Griffith University,2023,Non-Award Courses,965
Queensland,Griffith University,2024,Natural and Physical Sciences,3363
Queensland,Griffith University,2024,Information Technology,2789
Queensland,Griffith University,2024,Engineering and Related Technologies,2187
Queensland,Griffith University,2024,Architecture and Building,594
Queensland,Griffith University,2024,"Agriculture, Environmental and Related Studies",646
Queensland,Griffith University,2024,Health,9344
Queensland,Griffith University,2024,Education,4180
Queensland,Griffith University,2024,Management and Commerce,8299
Queensland,Griffith University,2024,Society and Culture,10886
Queensland,Griffith University,2024,Creative Arts,3533
Queensland,Griffith University,2024,Mixed Field Programmes,69
Queensland,Griffith University,2024,Non-Award Courses,947
Queensland,James Cook University,2020,Natural and Physical Sciences,1977
Queensland,James Cook University,2020,Information Technology,1025
Queensland,James Cook University,2020,Engineering and Related Technologies,648
Queensland,James Cook University,2020,Architecture and Building,33
Queensland,James Cook University,2020,"Agriculture, Environmental and Related Studies",239
Queensland,James Cook University,2020,Health,5863
Queensland,James Cook University,2020,Education,1526
Queensland,James Cook University,2020,Management and Commerce,3805
Queensland,James Cook University,2020,Society and Culture,3564
Queensland,James Cook University,2020,Creative Arts,23
Queensland,James Cook University,2020,Mixed Field Programmes,887
Queensland,James Cook University,2020,Non-Award Courses,707
Queensland,James Cook University,2021,Natural and Physical Sciences,1972
Queensland,James Cook University,2021,Information Technology,1022
Queensland,James Cook University,2021,Engineering and Related Technologies,646
Queensland,James Cook University,2021,Architecture and Building,33
Queensland,James Cook University,2021,"Agriculture, Environmental and Related Studies",238
Queensland,James Cook University,2021,Health,5850
Queensland,James Cook University,2021,Education,1523
Queensland,James Cook University,2021,Management and Commerce,3796
Queensland,James Cook University,2021,Society and Culture,3556
Queensland,James Cook University,2021,Creative Arts,23
