state,institution,year,faculty,enrolments
Australian Capital Territory,University of Canberra,2023,Natural and Physical Sciences,434
Australian Capital Territory,University of Canberra,2023,Information Technology,2183
Australian Capital Territory,University of Canberra,2023,Engineering and Related Technologies,243
Australian Capital Territory,University of Canberra,2023,Architecture and Building,701
Australian Capital Territory,University of Canberra,2023,"Agriculture, Environmental and Related Studies",105
Australian Capital Territory,University of Canberra,2023,Health,3946
Australian Capital Territory,University of Canberra,2023,Education,2081
Australian Capital Territory,University of Canberra,2023,Management and Commerce,2139
Australian Capital Territory,University of Canberra,2023,Society and Culture,4533
Australian Capital Territory,University of Canberra,2023,Creative Arts,1298
Australian Capital Territory,University of Canberra,2023,Non-Award Courses,50
Australian Capital Territory,University of Canberra,2024,Natural and Physical Sciences,424
Australian Capital Territory,University of Canberra,2024,Information Technology,2133
Australian Capital Territory,University of Canberra,2024,Engineering and Related Technologies,237
Australian Capital Territory,University of Canberra,2024,Architecture and Building,685
Australian Capital Territory,University of Canberra,2024,"Agriculture, Environmental and Related Studies",103
Australian Capital Territory,University of Canberra,2024,Health,3855
Australian Capital Territory,University of Canberra,2024,Education,2033
Australian Capital Territory,University of Canberra,2024,Management and Commerce,2090
Australian Capital Territory,University of Canberra,2024,Society and Culture,4429
Australian Capital Territory,University of Canberra,2024,Creative Arts,1268
Australian Capital Territory,University of Canberra,2024,Non-Award Courses,49
Multi-State,Australian Catholic University,2020,Natural and Physical Sciences,462
Multi-State,Australian Catholic University,2020,Information Technology,641
Multi-State,Australian Catholic University,2020,Health,14614
Multi-State,Australian Catholic University,2020,Education,9831
Multi-State,Australian Catholic University,2020,Management and Commerce,2238
Multi-State,Australian Catholic University,2020,Society and Culture,5240
Multi-State,Australian Catholic University,2020,Creative Arts,285
Multi-State,Australian Catholic University,2020,Non-Award Courses,1117
Multi-State,Australian Catholic University,2021,Natural and Physical Sciences,468
Multi-State,Australian Catholic University,2021,Information Technology,648
Multi-State,Australian Catholic University,2021,Health,14791
Multi-State,Australian Catholic University,2021,Education,9950
Multi-State,Australian Catholic University,2021,Management and Commerce,2265
Multi-State,Australian Catholic University,2021,Society and Culture,5303
Multi-State,Australian Catholic University,2021,Creative Arts,289
Multi-State,Australian Catholic University,2021,Non-Award Courses,1131
Multi-State,Australian Catholic University,2022,Natural and Physical Sciences,464
Multi-State,Australian Catholic University,2022,Information Technology,644
Multi-State,Australian Catholic University,2022,Health,14684
Multi-State,Australian Catholic University,2022,Education,9878
Multi-State,Australian Catholic University,2022,Management and Commerce,2248
Multi-State,Australian Catholic University,2022,Society and Culture,5265
Multi-State,Australian Catholic University,2022,Creative Arts,287
Multi-State,Australian Catholic University,2022,Non-Award Courses,1123
Multi-State,Australian Catholic University,2023,Natural and Physical Sciences,461
Multi-State,Australian Catholic University,2023,Information Technology,639
Multi-State,Australian Catholic University,2023,Health,14585
Multi-State,Australian Catholic University,2023,Education,9812
Multi-State,Australian Catholic University,2023,Management and Commerce,2233
Multi-State,Australian Catholic University,2023,Society and Culture,5229
Multi-State,Australian Catholic University,2023,Creative Arts,285
Multi-State,Australian Catholic University,2023,Non-Award Courses,1115
Multi-State,Australian Catholic University,2024,Natural and Physical Sciences,497
Multi-State,Australian Catholic University,2024,Information Technology,689
Multi-State,Australian Catholic University,2024,Health,15720
Multi-State,Australian Catholic University,2024,Education,10575
Multi-State,Australian Catholic University,2024,Management and Commerce,2407
Multi-State,Australian Catholic University,2024,Society and Culture,5636
Multi-State,Australian Catholic University,2024,Creative Arts,307
Multi-State,Australian Catholic University,2024,Non-Award Courses,1202
Multi-State,Non-University Higher Education Providers,2020,Society and Culture,3107
Multi-State,Non-University Higher Education Providers,2020,Non-Award Courses,59
Multi-State,Non-University Higher Education Providers,2021,Society and Culture,2897
Multi-State,Non-University Higher Education Providers,2021,Non-Award Courses,55
