typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","208","DNK","Denmark","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6000","false","-1","N/A",,"false","6000","false",,"false","7995",,"7995","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2515","Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","385730","false","-1","N/A",,"false","385730","false",,"false","77610",,"77610","0","true","false",
"C","A","20140101","2014","52","2014","124","CAN","Canada","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","152","true","-1","N/A",,"false","152","true",,"false",,"1736","1736","6","true","false",
"C","A","20140101","2014","52","2014","144","LKA","Sri Lanka","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","39",,"39","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","184","false","-1","N/A",,"false","184","false",,"false","61148",,"61148","0","true","false",
"C","A","20140101","2014","52","2014","242","FJI","Fiji","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11399","false","-1","N/A",,"false","11399","false",,"false","28623",,"28623","0","true","false",
"C","A","20140101","2014","52","2014","251","FRA","France","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","700","false","-1","N/A",,"false","700","false",,"false","4165",,"4165","0","true","false",
"C","A","20140101","2014","52","2014","258","PYF","French Polynesia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","2508","Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99","false","-1","N/A",,"false","99","false",,"false","669",,"669","0","true","false",
"C","A","20140101","2014","52","2014","242","FJI","Fiji","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8630","false","-1","N/A",,"false","8630","false",,"false","15561",,"15561","0","true","false",
"C","A","20140101","2014","52","2014","246","FIN","Finland","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","820530","Tools, hand; planes, chisels, gauges and similar cutting tools for working wood","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","-1","N/A",,"false","3","false",,"false","19",,"19","0","true","false",
